Kmed	MSS	Kmed_sq	MSS_sq
105	105	105	105
110	110	110	110
7	107	7	107
6	108	6	108
6	105	6	105
6	108	6	108
7	107	7	107
7	112	7	112
52	112	52	112
105	105	105	105
6	108	6	108
6	105	105	105
13	100	13	100
13	107	13	107
13	100	13	100
115	107	111	107
105	105	105	105
13	114	13	114
13	100	35	100
52	102	13	102
77	114	77	114
52	112	52	112
52	112	52	112
105	105	105	105
110	105	111	110
110	110	110	110
13	100	35	100
77	114	77	114
105	105	105	105
92	102	92	102
110	102	110	102
35	100	35	100
7	107	7	107
110	110	110	110
35	100	35	100
35	102	35	102
13	100	13	100
110	110	110	110
13	100	13	100
7	107	7	107
52	108	52	108
105	105	105	105
35	100	35	100
13	100	13	100
92	113	92	113
110	110	110	110
115	115	111	115
7	107	7	107
92	113	92	113
115	115	111	115
52	112	52	112
52	112	52	112
6	108	6	108
115	115	111	115
35	100	35	100
7	102	7	102
77	114	77	114
92	113	92	113
7	114	7	115
77	114	77	114
7	107	7	107
35	100	35	100
77	114	77	114
110	114	110	114
7	107	7	107
92	114	77	114
92	113	77	113
105	115	111	115
52	112	52	112
92	105	92	105
77	114	77	114
35	100	35	100
105	108	105	108
115	115	111	115
6	108	6	108
77	113	77	113
77	114	77	114
52	112	52	112
52	112	52	112
110	102	110	102
92	102	92	102
6	108	6	108
105	102	105	102
115	115	111	115
6	108	6	108
13	100	7	100
92	113	92	113
105	114	105	114
115	115	111	115
110	110	110	110
6	105	6	105
92	113	92	113
92	113	92	113
92	105	105	105
35	102	35	102
77	114	77	114
77	114	77	114
6	113	6	113
6	108	6	108
35	100	35	100
7	107	7	107
52	102	52	102
110	108	105	108
110	110	110	110
105	105	105	105
110	110	110	110
7	107	7	107
6	108	6	108
52	112	52	112
110	110	110	110
115	115	111	115
52	112	52	112
92	113	92	113
77	114	77	114
115	115	111	115
