Kmed	MSS	Kmed_sq	MSS_sq
15	62	15	62
18	61	18	61
46	62	15	62
15	62	15	62
46	60	52	60
18	61	18	61
18	61	18	61
15	61	15	61
46	62	52	62
18	61	18	61
46	62	15	60
46	60	52	60
15	62	15	62
18	61	18	61
15	62	15	62
46	60	15	60
15	62	15	62
18	61	18	61
46	60	52	60
18	61	18	61
46	62	15	62
46	60	52	60
18	61	18	61
46	60	52	60
15	60	15	60
18	61	18	61
18	61	18	61
18	61	18	61
18	62	18	62
46	60	52	60
15	62	52	62
18	61	18	61
18	61	18	61
15	62	15	62
15	62	15	62
46	60	52	60
18	62	52	62
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
46	60	52	60
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
46	60	52	60
15	62	15	62
15	62	15	62
18	61	18	61
46	60	52	60
18	61	18	61
18	61	18	61
15	62	15	62
46	60	15	60
18	61	18	61
46	62	15	62
