Kmed	MSS	Kmed_sq	MSS_sq
15	48	15	48
18	32	18	55
3	48	3	48
60	60	60	60
52	56	52	56
58	58	58	58
18	58	18	58
31	31	31	55
60	60	60	60
18	58	18	58
3	48	3	48
52	56	52	56
15	62	39	62
18	58	18	58
15	59	15	62
60	60	60	60
39	59	39	59
18	32	18	32
52	56	52	56
31	31	31	55
39	59	39	59
52	56	52	56
18	32	18	32
52	56	52	56
52	56	52	56
18	32	18	32
18	32	18	55
18	32	18	32
31	31	31	55
52	56	52	56
31	31	31	48
18	32	18	32
33	61	33	61
15	62	39	62
15	62	15	62
52	56	52	56
60	60	60	60
15	62	15	62
39	59	39	59
58	58	58	58
15	60	15	60
58	58	58	55
3	48	31	48
15	62	15	62
3	59	3	59
60	56	52	56
15	62	15	62
31	48	31	48
58	58	58	58
15	62	15	62
52	59	52	56
52	56	52	56
15	59	15	59
39	62	39	62
58	58	58	55
52	56	52	56
58	58	18	58
58	58	58	58
39	59	39	59
60	60	60	60
33	61	33	61
3	62	3	62
