Kmed	MSS	Kmed_sq	MSS_sq	
18	50	49	49
31	48	31	50
31	48	31	50
31	48	31	50
18	50	49	49
6	49	49	49
18	50	31	50
18	50	31	50
31	48	31	50
31	48	31	50
6	49	49	49
18	50	31	50
31	48	31	50
31	48	31	50
6	49	49	49
6	49	49	49
6	49	49	49
18	50	49	49
6	49	49	49
6	49	49	49
18	50	49	49
18	49	49	49
18	50	49	49
18	50	31	50
18	50	31	50
31	48	31	50
18	50	31	50
18	50	49	49
18	50	49	49
31	48	31	50
31	48	31	50
18	50	49	49
6	49	49	49
6	49	49	49
31	48	31	50
31	48	31	50
18	50	49	49
18	50	49	49
31	48	31	50
18	50	49	50
18	50	49	49
31	48	31	50
31	48	31	50
18	50	49	49
6	49	49	49
31	48	31	50
6	49	49	49
31	48	31	50
18	49	49	49
18	50	31	50
140	149	113	149
79	150	79	149
140	149	113	149
70	120	90	120
79	150	79	150
79	150	79	150
79	150	79	149
70	120	90	120
79	150	79	150
70	120	90	120
70	120	90	120
79	150	79	150
70	120	90	120
79	150	79	150
79	150	79	150
79	150	79	149
79	150	79	150
70	120	90	120
70	120	90	120
70	120	90	120
79	150	79	149
79	150	79	150
79	150	79	150
79	150	79	150
79	150	79	150
79	150	79	150
79	150	79	150
140	149	113	149
79	150	79	150
70	120	90	120
70	120	90	120
70	120	90	120
70	120	90	120
79	150	79	150
79	150	79	150
79	150	79	149
140	150	113	149
70	120	90	120
79	150	79	150
70	120	90	120
70	120	90	120
79	150	79	150
70	120	90	120
70	120	90	120
70	120	90	120
79	150	79	150
79	150	79	150
79	150	79	150
70	120	90	120
79	150	79	150
140	149	113	149
79	150	79	150
140	149	113	136
79	150	113	150
140	149	113	149
140	149	113	136
70	120	90	120
140	149	113	136
140	150	113	150
140	149	118	136
140	149	113	149
79	150	113	150
140	149	113	149
79	150	90	150
79	150	79	150
140	149	113	149
140	149	113	149
140	149	118	136
140	149	113	136
70	120	90	120
140	149	113	149
79	150	79	150
140	149	113	136
79	150	79	150
140	149	113	149
140	149	113	136
79	150	79	150
79	150	79	150
140	149	113	149
140	149	113	136
140	149	113	136
140	149	118	136
140	149	113	149
79	150	79	150
79	150	79	150
140	149	113	136
140	149	113	149
140	149	113	149
79	150	79	150
140	149	113	149
140	149	113	149
140	149	113	149
79	150	79	150
140	149	113	149
140	149	113	149
140	149	113	149
79	150	79	150
140	149	113	149
140	149	113	149
79	150	79	150
