Kmed	MSS	Kmed_sq	MSS_sq
4	n.a.	4	n.a.
4	n.a.	4	n.a.
59	n.a.	4	n.a.
4	n.a.	4	n.a.
13	n.a.	73	n.a.
4	n.a.	4	n.a.
13	n.a.	13	n.a.
59	n.a.	59	n.a.
9	n.a.	9	n.a.
4	n.a.	4	n.a.
9	n.a.	9	n.a.
4	n.a.	4	n.a.
13	n.a.	13	n.a.
4	n.a.	9	n.a.
13	n.a.	59	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
4	n.a.	4	n.a.
73	n.a.	73	n.a.
13	n.a.	13	n.a.
59	n.a.	59	n.a.
74	n.a.	74	n.a.
13	n.a.	13	n.a.
13	n.a.	13	n.a.
13	n.a.	9	n.a.
9	n.a.	9	n.a.
13	n.a.	13	n.a.
9	n.a.	9	n.a.
13	n.a.	13	n.a.
13	n.a.	13	n.a.
9	n.a.	9	n.a.
13	n.a.	13	n.a.
9	n.a.	9	n.a.
9	n.a.	9	n.a.
13	n.a.	13	n.a.
9	n.a.	9	n.a.
9	n.a.	13	n.a.
13	n.a.	13	n.a.
4	n.a.	4	n.a.
59	n.a.	59	n.a.
59	n.a.	59	n.a.
59	n.a.	59	n.a.
59	n.a.	59	n.a.
73	n.a.	73	n.a.
13	n.a.	13	n.a.
13	n.a.	13	n.a.
4	n.a.	4	n.a.
73	n.a.	59	n.a.
59	n.a.	59	n.a.
60	n.a.	60	n.a.
60	n.a.	60	n.a.
60	n.a.	60	n.a.
60	n.a.	60	n.a.
60	n.a.	60	n.a.
59	n.a.	59	n.a.
59	n.a.	59	n.a.
74	n.a.	73	n.a.
68	n.a.	104	n.a.
59	n.a.	59	n.a.
59	n.a.	59	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
74	n.a.	74	n.a.
74	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
59	n.a.	59	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	74	n.a.
73	n.a.	73	n.a.
74	n.a.	74	n.a.
73	n.a.	74	n.a.
59	n.a.	59	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
73	n.a.	73	n.a.
74	n.a.	74	n.a.
74	n.a.	74	n.a.
74	n.a.	74	n.a.
74	n.a.	74	n.a.
74	n.a.	74	n.a.
74	n.a.	74	n.a.
60	n.a.	60	n.a.
74	n.a.	74	n.a.
74	n.a.	73	n.a.
74	n.a.	9	n.a.
68	n.a.	104	n.a.
68	n.a.	104	n.a.
