Kmed	MSS	Kmed_sq	MSS_sq
1	n.a.	105	105
110	n.a.	110	110
7	n.a.	7	107
6	n.a.	6	108
1	n.a.	6	105
6	n.a.	6	108
7	n.a.	7	107
7	n.a.	7	112
52	n.a.	52	112
1	n.a.	105	105
6	n.a.	6	108
6	n.a.	105	105
19	n.a.	35	100
111	n.a.	111	107
19	n.a.	35	100
111	n.a.	92	107
1	n.a.	105	105
1	n.a.	105	114
19	n.a.	35	100
19	n.a.	92	102
77	n.a.	77	114
52	n.a.	52	112
52	n.a.	52	112
1	n.a.	105	105
111	n.a.	111	114
110	n.a.	110	110
19	n.a.	35	100
77	n.a.	77	110
19	n.a.	111	105
92	n.a.	92	102
110	n.a.	110	102
19	n.a.	35	100
7	n.a.	7	107
110	n.a.	110	110
19	n.a.	35	100
1	n.a.	35	102
19	n.a.	77	100
110	n.a.	110	110
19	n.a.	7	100
7	n.a.	7	107
52	n.a.	52	108
1	n.a.	105	105
19	n.a.	35	100
110	n.a.	110	100
92	n.a.	92	102
110	n.a.	110	110
111	n.a.	111	115
7	n.a.	7	107
92	n.a.	92	114
111	n.a.	111	115
52	n.a.	52	112
52	n.a.	52	112
6	n.a.	6	108
111	n.a.	111	115
19	n.a.	35	100
7	n.a.	7	102
77	n.a.	77	114
92	n.a.	92	110
7	n.a.	7	115
77	n.a.	77	114
7	n.a.	7	107
19	n.a.	35	100
77	n.a.	77	110
110	n.a.	110	110
7	n.a.	7	107
1	n.a.	92	114
92	n.a.	77	114
111	n.a.	111	115
52	n.a.	52	112
92	n.a.	92	105
77	n.a.	77	110
19	n.a.	35	100
1	n.a.	105	108
111	n.a.	111	115
6	n.a.	6	108
77	n.a.	77	114
77	n.a.	77	114
52	n.a.	52	112
52	n.a.	52	112
110	n.a.	110	102
111	n.a.	92	102
6	n.a.	6	108
1	n.a.	7	112
111	n.a.	111	115
6	n.a.	6	108
7	n.a.	7	100
92	n.a.	92	114
1	n.a.	105	114
111	n.a.	111	115
110	n.a.	110	110
6	n.a.	6	105
92	n.a.	92	102
92	n.a.	92	102
92	n.a.	92	105
52	n.a.	35	102
77	n.a.	77	110
77	n.a.	77	114
6	n.a.	6	108
6	n.a.	6	108
19	n.a.	35	100
7	n.a.	7	107
52	n.a.	52	102
7	n.a.	110	108
110	n.a.	110	110
1	n.a.	105	105
110	n.a.	110	110
7	n.a.	7	107
6	n.a.	6	108
52	n.a.	52	112
110	n.a.	110	110
111	n.a.	111	115
52	n.a.	52	112
92	n.a.	92	114
77	n.a.	77	114
111	n.a.	105	115
