Kmed	MSS	Kmed_sq	MSS_sq
48	48	48	48
18	55	18	55
62	62	62	62
60	60	60	60
52	56	52	56
58	58	58	58
18	58	18	58
8	55	8	55
60	60	60	60
18	58	18	58
48	48	48	48
52	56	52	56
39	50	39	50
18	58	18	58
39	50	39	50
60	60	60	60
39	59	39	59
18	32	18	32
52	56	52	56
8	55	8	55
48	59	39	59
52	56	52	56
18	32	18	32
52	56	52	56
52	56	52	56
18	32	18	32
8	55	18	55
18	32	18	32
48	48	48	48
52	56	52	56
8	48	8	48
18	32	18	32
33	61	33	61
39	50	39	50
50	50	50	50
52	56	52	56
60	60	60	60
62	50	62	50
39	59	39	59
58	58	58	58
8	60	8	60
58	55	58	55
48	48	48	48
39	50	39	50
39	59	39	59
60	56	60	56
50	50	50	50
48	48	48	48
58	58	58	58
50	50	50	50
52	59	52	56
52	56	52	56
39	59	39	59
62	62	62	62
58	55	58	55
52	56	52	56
18	58	58	58
58	58	58	58
39	59	39	59
60	60	60	60
33	61	33	61
62	62	62	62
