Kmed	MSS	Kmed_sq	MSS_sq
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
18	61	18	61
18	61	18	61
18	61	18	61
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
18	61	18	61
15	62	18	62
15	62	15	62
18	61	18	61
18	61	18	61
18	61	18	61
18	62	18	62
15	62	15	62
18	62	15	62
18	61	18	61
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
18	62	15	62
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
15	62	15	62
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
15	62	15	62
15	62	15	62
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
18	61	18	61
18	61	18	61
15	62	15	62
15	62	15	62
18	61	18	61
15	62	15	62
