Kmed	MSS	Kmed_sq	MSS_sq
1	n.a.	1	n.a.
1	n.a.	1	n.a.
62	n.a.	62	n.a.
62	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
62	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
89	n.a.	89	n.a.
1	n.a.	89	n.a.
62	n.a.	62	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
89	n.a.	62	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
62	n.a.	62	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
89	n.a.	89	n.a.
1	n.a.	62	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
89	n.a.	1	n.a.
62	n.a.	62	n.a.
1	n.a.	62	n.a.
1	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
62	n.a.	62	n.a.
89	n.a.	62	n.a.
1	n.a.	1	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
89	n.a.	62	n.a.
89	n.a.	1	n.a.
1	n.a.	62	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
62	n.a.	62	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	62	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
62	n.a.	62	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
1	n.a.	62	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	62	n.a.
62	n.a.	62	n.a.
1	n.a.	62	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
89	n.a.	89	n.a.
1	n.a.	62	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
62	n.a.	1	n.a.
62	n.a.	89	n.a.
1	n.a.	1	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
62	n.a.	62	n.a.
62	n.a.	62	n.a.
89	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	1	n.a.
1	n.a.	62	n.a.
62	n.a.	62	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
1	n.a.	89	n.a.
89	n.a.	89	n.a.
1	n.a.	1	n.a.
62	n.a.	62	n.a.
1	n.a.	1	n.a.
89	n.a.	89	n.a.
