Kmed	MSS	Kmed_sq	MSS_sq
4	30	4	30
4	30	4	30
59	30	59	30
4	58	4	58
73	30	73	30
4	30	4	30
13	30	13	30
59	30	59	30
13	58	13	58
13	58	13	58
4	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
4	58	4	58
13	58	13	58
13	58	13	30
4	58	4	58
4	58	4	58
4	58	4	58
4	58	4	58
13	58	13	58
13	58	13	58
4	58	4	30
4	58	4	58
4	58	4	58
73	99	73	99
13	30	13	30
59	99	59	99
74	99	74	99
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
4	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
4	58	13	58
13	58	13	58
13	58	13	58
4	58	13	58
13	58	13	58
13	58	13	58
13	58	59	58
59	99	59	99
59	105	59	105
59	105	59	105
59	105	59	105
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
13	58	13	58
59	105	59	105
74	103	74	103
74	103	74	103
73	103	73	103
74	103	74	103
74	103	74	103
59	105	59	105
59	105	59	105
74	103	73	103
59	105	73	105
59	105	59	105
59	105	59	105
73	99	73	99
73	99	74	99
73	99	73	99
74	103	74	103
73	99	73	99
73	99	73	99
73	99	73	99
59	99	59	105
73	99	73	99
73	99	73	99
73	99	73	99
74	103	74	103
73	99	73	99
74	99	74	99
73	103	74	103
59	105	59	105
73	103	74	103
73	99	73	99
73	99	73	99
73	103	74	99
73	99	73	99
73	99	73	99
73	99	74	99
74	103	74	103
74	103	74	103
74	103	74	103
74	103	74	103
74	103	74	103
74	99	74	99
74	103	74	103
74	103	74	103
73	103	74	103
13	103	13	103
59	105	74	105
59	105	59	105
